companyLongName,ISIN_BC,LEI,lookupStatus
Lazard Global Active Funds PLC - Lazard European Equity Fund,IE0005060367_2779,5493005HYXTLWPEWMJ57,ERROR
Barings International Umbrella Fund - Barings ASEAN Frontiers Fund,IE0000830236_17,549300TGDLIOY1UPFB33,ERROR
Barings International Umbrella Fund - Barings Australia Fund,IE0000829451_18,5493003HQJUX6CWNR787,ERROR
Barings International Umbrella Fund - Barings Global Bond Fund,IE0000829568_14,5493001RC3G3PT80Y747,ERROR
Barings International Umbrella Fund - Barings Hong Kong China Fund,IE0000829238_2913,549300BT29YFG8CKKD32,ERROR
Barings Emerging Markets Umbrella Fund - Barings Global Emerging Markets Fund,IE0000838304_14,213800YIFC3WIHBRUI48,ERROR
Invesco Liquidity Funds PLC - Invesco Sterling Liquidity Portfolio,IE0008004719_3313,549300GB129RXLMVIQ70,ERROR
Invesco Liquidity Funds PLC - Invesco Euro Liquidity Portfolio,IE0004904748_3059,549300SX8M1X5KGDQ843,ERROR
Goldman Sachs Funds PLC - Goldman Sachs US Dollar Liquid Reserves Fund,IE0001534761_2785,549300LDO6S8WVTNKW94,ERROR
Findlay Park Funds ICAV - Findlay Park American Fund,IE0002458671_2605,635400DONL3CFD6FVX73,ERROR
Muzinich Funds - Muzinich Americayield Fund,IE0004347849_431,54930086G66KM1ZTG004,ERROR
AXA IM Equity Trust - AXA IM US Equity QI,IE0008365516_18,213800C6RZ6JS9AOG834,ERROR
AXA IM Equity Trust - AXA IM Japan Equity,IE0008366589_2720,213800W1TW7UE2C1YR70,ERROR
AXA IM Equity Trust - AXA IM Pacific Ex-Japan Equity QI,IE0008366704_2608,213800ZRPOICP3T5A150,ERROR
AXA IM Equity Trust - AXA IM Global Small Cap Equity QI,IE0008366928_2608,2138005OB6LSRNHZ9E68,ERROR
AXA IM Equity Trust - AXA IM All Country Asia Pacific Ex-Japan Small Cap Equity QI,IE0008367009_9760,213800SZ58OTSMCA9T31,ERROR
Muzinich Funds - Muzinich Europeyield Fund,IE0005324847_354,549300JBHQVWT2N8U421,ERROR
DWS Deutsche Global Liquidity Series PLC - Deutsche Managed Dollar Fund,IE0008553855_3231,549300POXYQVL3PK2A50,ERROR
DWS Deutsche Global Liquidity Series PLC - Deutsche Managed Euro Fund,IE0008643037_3230,549300MKO5YX3YRB4935,ERROR
DWS Deutsche Global Liquidity Series PLC - Deutsche Managed Sterling Fund,IE0008707428_2720,549300WQD3ZWEIUC0561,ERROR
Natixis International Funds (Dublin) I PLC - Loomis Sayles Global Opportunistic Bond Fund,IE0009240692_3231,GRN8DO5Q28D6Y7RN0D20,ERROR
Amundi Obbligazionario Italia Breve Termine,IT0000388204_282,213800118YQ66OGIEA36,ERROR
BNL Azioni Italia,IT0000382561_354,21380074NAI13I8SJA75,ERROR
BNL Azioni America,IT0000388808_354,2138005ZYUSBAJLICK28,ERROR
BNL Obbligazioni Emergenti,IT0000388840_282,213800IMZR2M2RLGYX97,ERROR
Amundi Obbligazionario Breve Termine,IT0001250205_282,529900DT4NGJ6I181187,ERROR
Eurizon Soluzione ESG 10,IT0001080404_282,549300I1J4Z6EA60RD18,ERROR
Amundi Obbligazionario Paesi Emergenti a distribuzione,IT0001318739_282,213800LR38TEJM31WS54,ERROR
BNL Obbligazioni Globali,IT0001374245_354,213800DW2Y7648ITT940,ERROR
BNL Azioni Emergenti,IT0001374302_354,213800XCNNVUUCFTZO81,ERROR
BNL Azioni Europa Dividendo,IT0001468047_282,2138004NTXO72SWNK997,ERROR
BNL Flessibile Globale,IT0004240542_282,213800HEK474XBJJWU24,ERROR
Amundi Impegno Italia,IT0004253800_282,529900LXP1DJMGIEOO27,ERROR
Amundi Obbligazionario Sistema Italia a distribuzione,IT0004791759_282,2138003YY61C5RHQL809,ERROR
Amundi Obbligazionario Globale High Yield a distribuzione,IT0004812449_282,7C8QGFXMP2SL70DXF590,ERROR
Amundi Obbligazionario Corporate America a distribuzione,IT0004812514_282,8SL3Q62EAEBBTS9GCT20,ERROR
Amundi Target Controllo,IT0004814643_282,213800BNCSEOWES9N732,ERROR
Amundi ESG Selection Bilanciato,IT0005125049_282,549300BQED3741K4T975,ERROR
Amundi ESG Selection Conservativo,IT0005125064_282,549300X5SZNLMMBY1N03,ERROR
Amundi ESG Selection Dinamico,IT0005125080_282,549300GZT9H1J2IMGS74,ERROR
Amundi Valore Italia PIR,IT0005241440_282,549300IMUV88H7EUCC35,ERROR
Amundi Primo Investimento,IT0005250243_282,549300JYIC6DYO8MJT41,ERROR
Fondi Amundi Accumulazione - Amundi Accumulazione Disruption 2024,IT0005351371_282,5493001YVB0QT2WZMH47,ERROR
Fondi Amundi Selezione - Amundi Selezione Benessere 2024,IT0005351322_282,549300L2HZP903921R66,ERROR
Fondi Amundi Accumulazione - Amundi Accumulazione Megatrend 2024,IT0005358046_282,549300IACVAV2DMHRC15,ERROR
Amundi Private Megatrend 2023,IT0005340952_282,549300VRL9QGW366T617,ERROR
Fondi Amundi Selezione - Amundi Selezione Benessere 05/2024,IT0005358061_282,5493005JTASGIDVJYP69,ERROR
Fondi Amundi Accumulazione - Amundi Accumulazione Megatrend 2024 DUE,IT0005371106_282,549300UDIBTTJCU9RS91,ERROR
